BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,1984-05-25,0.1888889968395233,1984-06-22,0.2222220003604889,0.033333003520965604,4
2,down,1984-06-22,0.2222220003604889,1984-07-10,0.1833329945802688,0.03888900578022009,4
3,up,1984-07-10,0.1833329945802688,1984-09-19,0.2694439888000488,0.08611099421977997,15
4,down,1984-09-19,0.2694439888000488,1984-10-29,0.1666669994592666,0.10277698934078217,11
5,up,1984-10-29,0.1666669994592666,1984-12-13,0.1944440007209777,0.027777001261711093,6
6,down,1984-12-13,0.1944440007209777,1985-01-08,0.1472219973802566,0.0472220033407211,6
7,up,1985-01-08,0.1472219973802566,1985-01-25,0.2416670024394989,0.0944450050592423,11
8,down,1985-01-25,0.2416670024394989,1985-02-01,0.2277780026197433,0.01388899981975561,4
9,up,1985-02-01,0.2277780026197433,1985-02-08,0.2694439888000488,0.04166598618030548,4
10,down,1985-02-08,0.2694439888000488,1985-02-27,0.2222220003604889,0.04722198843955988,8
11,up,1985-02-27,0.2222220003604889,1985-03-06,0.2666670083999634,0.04444500803947449,3
12,down,1985-03-06,0.2666670083999634,1985-04-02,0.2194440066814422,0.047223001718521174,8
13,up,1985-04-02,0.2194440066814422,1985-04-19,0.2333330065011978,0.013888999819755582,3
14,down,1985-04-19,0.2333330065011978,1985-06-24,0.1861110031604766,0.047222003340721186,14
15,up,1985-06-24,0.1861110031604766,1985-08-06,0.2277780026197433,0.04166699945926669,10
16,down,1985-08-06,0.2277780026197433,1985-09-18,0.1555559933185577,0.07222200930118558,9
17,up,1985-09-18,0.1555559933185577,1985-09-24,0.2000000029802322,0.0444440096616745,3
18,down,1985-09-24,0.2000000029802322,1985-10-11,0.14444400370121,0.05555599927902222,6
19,up,1985-10-11,0.14444400370121,1985-10-28,0.1972219944000244,0.05277799069881439,7
20,down,1985-10-28,0.1972219944000244,1985-11-14,0.1722220033407211,0.024999991059303284,3
21,up,1985-11-14,0.1722220033407211,1985-12-05,0.2166669964790344,0.04444499313831329,6
22,down,1985-12-05,0.2166669964790344,1985-12-19,0.1944440007209777,0.022222995758056696,3
23,up,1985-12-19,0.1944440007209777,1986-01-02,0.2333330065011978,0.03888900578022009,4
24,down,1986-01-02,0.2333330065011978,1986-01-27,0.2027779966592788,0.030555009841919,6
25,up,1986-01-27,0.2027779966592788,1986-02-14,0.2750000059604645,0.07222200930118569,9
26,down,1986-02-14,0.2750000059604645,1986-03-10,0.238888993859291,0.036111012101173484,6
27,up,1986-03-10,0.238888993859291,1986-03-24,0.2638890147209167,0.0250000208616257,5
28,down,1986-03-24,0.2638890147209167,1986-04-18,0.2416670024394989,0.02222201228141779,6
29,up,1986-04-18,0.2416670024394989,1986-05-14,0.3055559992790222,0.06388899683952332,9
30,down,1986-05-14,0.3055559992790222,1986-07-25,0.14444400370121,0.16111199557781222,15
31,up,1986-07-25,0.14444400370121,1986-08-28,0.1833329945802688,0.03888899087905881,8
32,down,1986-08-28,0.1833329945802688,1986-09-26,0.0833330005407333,0.09999999403953551,9
33,up,1986-09-26,0.0833330005407333,1986-10-13,0.1333329975605011,0.0499999970197678,3
34,down,1986-10-13,0.1333329975605011,1986-11-11,0.1055559962987899,0.027777001261711204,5
35,up,1986-11-11,0.1055559962987899,1986-11-24,0.1194439977407455,0.013888001441955608,4
36,down,1986-11-24,0.1194439977407455,1986-12-11,0.0972220003604888,0.02222199738025671,3
37,up,1986-12-11,0.0972220003604888,1987-01-20,0.1583330035209655,0.0611110031604767,9
38,down,1987-01-20,0.1583330035209655,1987-02-02,0.1388889998197555,0.019444003701209994,4
39,up,1987-02-02,0.1388889998197555,1987-02-06,0.1583330035209655,0.019444003701209994,3
40,down,1987-02-06,0.1583330035209655,1987-02-12,0.1333329975605011,0.025000005960464394,3
41,up,1987-02-12,0.1333329975605011,1987-03-05,0.1749999970197677,0.04166699945926661,8
42,down,1987-03-05,0.1749999970197677,1987-04-03,0.1555559933185577,0.019444003701209994,6
43,up,1987-04-03,0.1555559933185577,1987-05-13,0.2166669964790344,0.061111003160476685,15
44,down,1987-05-13,0.2166669964790344,1987-06-11,0.1749999970197677,0.04166699945926669,8
45,up,1987-06-11,0.1749999970197677,1987-06-19,0.2194440066814422,0.0444440096616745,3
46,down,1987-06-19,0.2194440066814422,1987-08-05,0.1833329945802688,0.0361110121011734,11
47,up,1987-08-05,0.1833329945802688,1987-08-25,0.2694439888000488,0.08611099421977997,6
48,down,1987-08-25,0.2694439888000488,1987-10-28,0.0833330005407333,0.1861109882593155,17
49,up,1987-10-28,0.0833330005407333,1987-11-13,0.1222219988703727,0.03888899832963941,5
50,down,1987-11-13,0.1222219988703727,1987-12-07,0.0972220003604888,0.02499999850988391,4
51,up,1987-12-07,0.0972220003604888,1987-12-21,0.1749999970197677,0.07777799665927891,8
52,down,1987-12-21,0.1749999970197677,1988-02-04,0.1194439977407455,0.0555559992790222,12
53,up,1988-02-04,0.1194439977407455,1988-03-10,0.1611109972000122,0.041666999459266704,9
54,down,1988-03-10,0.1611109972000122,1988-03-30,0.1305560022592544,0.030554994940757807,4
55,up,1988-03-30,0.1305560022592544,1988-04-13,0.1611109972000122,0.030554994940757807,8
56,down,1988-04-13,0.1611109972000122,1988-04-22,0.1500000059604644,0.011110991239547813,3
57,up,1988-04-22,0.1500000059604644,1988-05-06,0.1944440007209777,0.044443994760513306,4
58,down,1988-05-06,0.1944440007209777,1988-05-24,0.14444400370121,0.049999997019767706,7
59,up,1988-05-24,0.14444400370121,1988-06-14,0.1972219944000244,0.05277799069881439,8
60,down,1988-06-14,0.1972219944000244,1988-06-21,0.1472219973802566,0.04999999701976779,5
61,up,1988-06-21,0.1472219973802566,1988-07-20,0.1777780055999755,0.030556008219718905,6
62,down,1988-07-20,0.1777780055999755,1988-08-11,0.1500000059604644,0.02777799963951111,9
63,up,1988-08-11,0.1500000059604644,1988-08-19,0.16388900578022,0.01388899981975561,3
64,down,1988-08-19,0.16388900578022,1988-10-11,0.1111110001802444,0.0527780055999756,10
65,up,1988-10-11,0.1111110001802444,1988-11-16,0.1555559933185577,0.04444499313831331,11
66,down,1988-11-16,0.1555559933185577,1988-11-29,0.1361110061407089,0.019444987177848816,3
67,up,1988-11-29,0.1361110061407089,1988-12-30,0.1777780055999755,0.04166699945926661,11
68,down,1988-12-30,0.1777780055999755,1989-01-18,0.1583330035209655,0.01944500207901001,4
69,up,1989-01-18,0.1583330035209655,1989-02-06,0.1888889968395233,0.030555993318557795,6
70,down,1989-02-06,0.1888889968395233,1989-03-20,0.1333329975605011,0.05555599927902219,14
71,up,1989-03-20,0.1333329975605011,1989-05-22,0.2194440066814422,0.0861110091209411,21
72,down,1989-05-22,0.2194440066814422,1989-07-05,0.1694439947605133,0.0500000119209289,11
73,up,1989-07-05,0.1694439947605133,1989-07-14,0.2000000029802322,0.030556008219718905,3
74,down,1989-07-14,0.2000000029802322,1989-07-27,0.1666669994592666,0.033333003520965604,6
75,up,1989-07-27,0.1666669994592666,1989-08-10,0.1916670054197311,0.025000005960464505,5
76,down,1989-08-10,0.1916670054197311,1989-08-23,0.1694439947605133,0.022223010659217807,5
77,up,1989-08-23,0.1694439947605133,1989-09-06,0.1861110031604766,0.016667008399963296,4
78,down,1989-09-06,0.1861110031604766,1989-10-16,0.1277779936790466,0.05833300948143,7
79,up,1989-10-16,0.1277779936790466,1989-10-27,0.14444400370121,0.01666601002216339,4
80,down,1989-10-27,0.14444400370121,1989-11-22,0.1083329990506172,0.03611100465059279,3
81,up,1989-11-22,0.1083329990506172,1989-12-05,0.1194439977407455,0.011110998690128299,3
82,down,1989-12-05,0.1194439977407455,1989-12-22,0.1111110001802444,0.008332997560501099,3
83,up,1989-12-22,0.1111110001802444,1990-01-03,0.1277779936790466,0.0166669934988022,4
84,down,1990-01-03,0.1277779936790466,1990-01-30,0.1138890013098716,0.013888992369174999,8
85,up,1990-01-30,0.1138890013098716,1990-02-13,0.1527779996395111,0.038888998329639504,6
86,down,1990-02-13,0.1527779996395111,1990-03-15,0.1194439977407455,0.033334001898765606,8
