Symbol
NVDA
MSFT
AAPL
AMZN
META
AVGO
GOOGL
GOOG
TSLA
BRK-B
WMT
JPM
ORCL
V
LLY
MA
NFLX
XOM
COST
JNJ
PLTR
HD
PG
ABBV
BAC
CVX
KO
TMUS
GE
AMD
UNH
CSCO
PM
WFC
CRM
MS
ABT
LIN
IBM
GS
MCD
AXP
MRK
DIS
RTX
T
PEP
INTU
CAT
UBER
VZ
TMO
NOW
BKNG
TXN
BLK
SCHW
BA
ISRG
ANET
C
QCOM
GEV
SPGI
AMGN
NEE
ACN
BSX
ADBE
TJX
DHR
GILD
SYK
PGR
PFE
LOW
COF
MU
ETN
HON
APH
DE
BX
AMAT
UNP
KKR
LRCX
PANW
CMCSA
MDT
ADP
COP
KLAC
SNPS
ADI
NKE
MO
INTC
CB
WELL
DASH
CRWD
SBUX
LMT
SO
ICE
MMC
CEG
VRTX
PLD
BMY
CDNS
CME
TT
AMT
DUK
PH
DELL
HCA
MCO
WM
SHW
CVS
RCL
CTAS
ORLY
GD
NOC
MCK
COIN
MMM
MDLZ
APO
ECL
CI
TDG
AON
MSI
ABNB
AJG
NEM
EQIX
PNC
ITW
FI
EMR
UPS
MAR
RSG
BK
USB
ELV
HWM
WMB
JCI
CL
ZTS
AZO
VST
CSX
PYPL
EOG
APD
HLT
NSC
MNST
FTNT
ADSK
AXON
REGN
WDAY
TEL
FCX
TRV
AEP
URI
NXPI
CMG
KMI
ROP
TFC
PWR
DLR
CARR
AFL
FAST
SPG
COR
GLW
BDX
CMI
ALL
NDAQ
FDX
GM
O
SRE
MET
PCAR
D
IDXX
LHX
SLB
PAYX
PSX
DHI
MPC
PSA
CTVA
ROST
TGT
AMP
KDP
CBRE
GWW
XYZ
OKE
KR
EW
CPRT
F
EBAY
DDOG
GRMN
EXC
AIG
CCI
KMB
OXY
TTWO
MSCI
AME
XEL
VLO
EA
BKR
PEG
RMD
YUM
MPWR
CCL
KVUE
FANG
DAL
ETR
ROK
VMC
SYY
LYV
PRU
CSGP
VRSK
HIG
CHTR
FIS
MLM
LVS
HSY
ED
CAH
MCHP
OTIS
HUM
TRGP
XYL
VICI
WEC
LEN
CTSH
A
ACGL
STX
GEHC
PCG
NUE
UAL
EL
FICO
RJF
WAB
KHC
IQV
TSCO
WTW
DXCM
EQT
ODFL
BRO
STT
IR
DD
VTR
BR
EFX
MTB
STZ
WBD
NRG
EXR
ADM
DTE
KEYS
HPE
FITB
AWK
K
ROL
SMCI
TTD
AEE
MTD
AVB
PPL
IRM
WRB
SYF
GIS
VLTO
ATO
WDC
CBOE
EXPE
PHM
HPQ
TDY
PTC
PPG
VRSN
IP
DG
FE
CNP
WSM
TYL
LULU
DOV
NTRS
HBAN
EQR
STE
ES
DRI
TROW
FSLR
CINF
DLTR
ULTA
SBAC
HUBB
RF
LDOS
JBL
PODD
CHD
NVR
LH
CPAY
SW
EXE
NTAP
CDW
CMS
EIX
DVN
LII
CFG
GPN
TPR
ON
TPL
ZBH
BIIB
DGX
KEY
GDDY
TSN
TRMB
NI
AMCR
L
GEN
GPC
ERIE
WY
STLD
INVH
MKC
IT
FFIV
HAL
CTRA
TER
J
RL
WST
PKG
PNR
PFG
WAT
LYB
SNA
IFF
INCY
DOW
LNT
ESS
APTV
LUV
EVRG
MAA
EXPD
FTV
BG
ZBRA
DECK
HRL
TKO
MAS
BBY
DPZ
BLDR
HOLX
OMC
CLX
COO
CHRW
BF-B
BALL
ALLE
KIM
CNC
TXT
FDS
EG
JBHT
CF
AVY
ARE
BEN
REG
PAYC
UDR
IEX
FOX
SOLV
VTRS
BAX
NDSN
FOXA
DOC
SJM
POOL
JKHY
GNRC
SWK
HAS
CPT
WYNN
UHS
NWSA
NCLH
GL
SWKS
MRNA
HST
PNW
AKAM
DAY
ALGN
AIZ
HII
RVTY
WBA
BXP
MOS
AOS
TAP
MGM
ALB
CPB
IPG
DVA
AES
IVZ
EPAM
MOH
CAG
PSKY
MTCH
KMX
TECH
HSIC
LKQ
FRT
MHK
CRL
LW
EMN
APA
MKTX
NWS
CZR
ENPH
